time,simulation,state,bias,estimate,method,truth
365,15,3,-4.7452745023402604e-4,0.017028472549765975,Aalen-Johansen,0.017503
730,15,1,-0.015254236558520318,0.9040707634414796,Aalen-Johansen,0.919325
730,15,2,-0.005568880225007226,0.037145119774992776,Aalen-Johansen,0.042714
730,15,3,0.0208231167835278,0.0587841167835278,Aalen-Johansen,0.037961
1095,15,1,-0.01287042849919351,0.8762805715008065,Aalen-Johansen,0.889151
1095,15,2,0.007083192762955666,0.05607119276295566,Aalen-Johansen,0.048988
1095,15,3,0.005787235736238003,0.067648235736238,Aalen-Johansen,0.061861
1460,15,1,-0.005685780730168566,0.8607752192698315,Aalen-Johansen,0.866461
1460,15,2,-0.00758754749510341,0.04725145250489659,Aalen-Johansen,0.054839
1460,15,3,0.013273328225272163,0.09197332822527216,Aalen-Johansen,0.07869999999999999
1825,15,1,-0.012509775772142184,0.8319362242278578,Aalen-Johansen,0.844446
1825,15,2,-0.006828476219719874,0.05346152378028013,Aalen-Johansen,0.06029
1825,15,3,0.019338251991862204,0.1146022519918622,Aalen-Johansen,0.095264
365,16,1,0.01615584502123324,0.9657348450212332,Aalen-Johansen,0.949579
365,16,2,-0.01594078987722421,0.016977210122775793,Aalen-Johansen,0.032918
365,16,3,-2.1505514400880707e-4,0.017287944855991194,Aalen-Johansen,0.017503
730,16,1,0.025888553105600898,0.9452135531056008,Aalen-Johansen,0.919325
730,16,2,-0.013654904685748832,0.02905909531425117,Aalen-Johansen,0.042714
730,16,3,-0.012233648419851584,0.025727351580148418,Aalen-Johansen,0.037961
1095,16,1,0.03279749082580197,0.921948490825802,Aalen-Johansen,0.889151
1095,16,2,-0.014859476697463805,0.03412852330253619,Aalen-Johansen,0.048988
1095,16,3,-0.01793801412833773,0.04392298587166227,Aalen-Johansen,0.061861
1460,16,1,0.03926812609184027,0.9057291260918403,Aalen-Johansen,0.866461
1460,16,2,-0.02588185569893744,0.028957144301062557,Aalen-Johansen,0.054839
1460,16,3,-0.013386270392902397,0.0653137296070976,Aalen-Johansen,0.07869999999999999
1825,16,1,0.049671214218868,0.894117214218868,Aalen-Johansen,0.844446
1825,16,2,-0.03710768218626577,0.023182317813734237,Aalen-Johansen,0.06029
