time,simulation,state,bias,estimate,method,truth
1825,2,2,0.03552312316970606,0.14755512316970607,Aalen-Johansen,0.112032
1825,2,3,-0.022649245263421797,0.2252737547365782,Aalen-Johansen,0.247923
365,3,1,0.02289082419334476,0.9150718241933448,Aalen-Johansen,0.892181
365,3,2,-0.018742248544901884,0.04434675145509812,Aalen-Johansen,0.063089
365,3,3,-0.004148575648442641,0.04058142435155736,Aalen-Johansen,0.04473
730,3,1,0.02106439290724693,0.8033633929072469,Aalen-Johansen,0.782299
730,3,2,-0.010656509252346139,0.10472649074765386,Aalen-Johansen,0.115383
730,3,3,-0.010407883654900946,0.09191011634509905,Aalen-Johansen,0.10231799999999999
1095,3,1,0.028670598970097383,0.7377245989700973,Aalen-Johansen,0.709054
1095,3,2,-0.030366882562638614,0.09656711743736138,Aalen-Johansen,0.126934
1095,3,3,0.0016962835925413144,0.1657082835925413,Aalen-Johansen,0.164012
1460,3,1,0.024581554539338413,0.6982865545393384,Aalen-Johansen,0.673705
1460,3,2,-0.030043608539418662,0.08624039146058134,Aalen-Johansen,0.116284
1460,3,3,0.005462054000080402,0.2154730540000804,Aalen-Johansen,0.210011
1825,3,1,0.03552080689380521,0.6755658068938052,Aalen-Johansen,0.640045
1825,3,2,-0.03536493713337974,0.07666706286662027,Aalen-Johansen,0.112032
1825,3,3,-1.5586976042550327e-4,0.2477671302395745,Aalen-Johansen,0.247923
365,4,1,0.004153491873211457,0.8963344918732115,Aalen-Johansen,0.892181
365,4,2,0.009366285008788208,0.07245528500878821,Aalen-Johansen,0.063089
365,4,3,-0.013519776882000303,0.031210223117999696,Aalen-Johansen,0.04473
730,4,1,-0.004129985111530177,0.7781690148884698,Aalen-Johansen,0.782299
730,4,2,0.03004628308563849,0.1454292830856385,Aalen-Johansen,0.115383
730,4,3,-0.025916297974108674,0.07640170202589132,Aalen-Johansen,0.10231799999999999
1095,4,1,0.006426572943037612,0.7154805729430376,Aalen-Johansen,0.709054
1095,4,2,0.016860013820942543,0.14379401382094253,Aalen-Johansen,0.126934
1095,4,3,-0.023286586763980266,0.14072541323601973,Aalen-Johansen,0.164012
1460,4,1,0.0021812291596912114,0.6758862291596912,Aalen-Johansen,0.673705
1460,4,2,0.022354634937746948,0.13863863493774695,Aalen-Johansen,0.116284
1460,4,3,-0.024535864097438576,0.18547513590256143,Aalen-Johansen,0.210011
1825,4,1,4.444721177405686e-4,0.6404894721177405,Aalen-Johansen,0.640045
1825,4,2,0.007613252321070504,0.11964525232107051,Aalen-Johansen,0.112032
1825,4,3,-0.008057724438811448,0.23986527556118856,Aalen-Johansen,0.247923
365,5,1,-0.021826129742216316,0.8703548702577837,Aalen-Johansen,0.892181
365,5,2,0.012273161586563122,0.07536216158656313,Aalen-Johansen,0.063089
365,5,3,0.009552968155653124,0.05428296815565312,Aalen-Johansen,0.04473
730,5,1,-0.01923404920360139,0.7630649507963986,Aalen-Johansen,0.782299
730,5,2,0.00530976649764206,0.12069276649764206,Aalen-Johansen,0.115383
