time,simulation,method,state,bias,estimate,truth
1825,15,Aalen-Johansen,1,-0.006724894184327668,0.012561105815672333,0.019286
1825,15,Aalen-Johansen,2,-0.007817894125696404,0.040199105874303594,0.048017
1825,15,Aalen-Johansen,3,0.01454278831002398,0.9472397883100239,0.9326969999999999
365,16,Aalen-Johansen,1,0.04427113870603383,0.5683401387060338,0.524069
365,16,Aalen-Johansen,2,-0.007741119363479904,0.1907608806365201,0.198502
365,16,Aalen-Johansen,3,-0.03653001934255326,0.24089898065744672,0.277429
730,16,Aalen-Johansen,1,0.008171559670427347,0.23258455967042735,0.224413
730,16,Aalen-Johansen,2,0.012239817555883242,0.20001781755588324,0.187778
730,16,Aalen-Johansen,3,-0.020411377226310035,0.56739762277369,0.587809
1095,16,Aalen-Johansen,1,0.013547489158048626,0.11207248915804863,0.098525
1095,16,Aalen-Johansen,2,0.0051511590864721235,0.13676715908647213,0.131616
1095,16,Aalen-Johansen,3,-0.018698648244519944,0.75116035175548,0.769859
1460,16,Aalen-Johansen,1,2.559038933316535e-4,0.043932903893331654,0.043677
1460,16,Aalen-Johansen,2,0.003911703784543766,0.08598570378454376,0.082074
1460,16,Aalen-Johansen,3,-0.004167607677874385,0.8700813923221257,0.874249
1825,16,Aalen-Johansen,1,-0.008930386939428967,0.010355613060571034,0.019286
1825,16,Aalen-Johansen,2,-0.004818141262862258,0.04319885873713774,0.048017
1825,16,Aalen-Johansen,3,0.013748528202292443,0.9464455282022923,0.9326969999999999
365,17,Aalen-Johansen,1,-0.008690708629129018,0.515378291370871,0.524069
365,17,Aalen-Johansen,2,0.005855607149455239,0.20435760714945525,0.198502
365,17,Aalen-Johansen,3,0.0028351014796743623,0.28026410147967434,0.277429
730,17,Aalen-Johansen,1,-0.012987144277986501,0.2114258557220135,0.224413
730,17,Aalen-Johansen,2,0.004544045680498848,0.19232204568049885,0.187778
730,17,Aalen-Johansen,3,0.008443098597488707,0.5962520985974887,0.587809
1095,17,Aalen-Johansen,1,-0.006747010298880474,0.09177798970111953,0.098525
1095,17,Aalen-Johansen,2,-0.0018286906468387154,0.1297873093531613,0.131616
1095,17,Aalen-Johansen,3,0.00857570094571991,0.7784347009457199,0.769859
1460,17,Aalen-Johansen,1,-0.00633634740436869,0.03734065259563131,0.043677
1460,17,Aalen-Johansen,2,-0.005817535413353517,0.07625646458664648,0.082074
1460,17,Aalen-Johansen,3,0.012153882817722561,0.8864028828177226,0.874249
1825,17,Aalen-Johansen,1,-0.005881663170799016,0.013404336829200985,0.019286
1825,17,Aalen-Johansen,2,-0.009697275864767395,0.0383197241352326,0.048017
1825,17,Aalen-Johansen,3,0.015578939035566619,0.9482759390355665,0.9326969999999999
365,18,Aalen-Johansen,1,0.004115611032116995,0.528184611032117,0.524069
365,18,Aalen-Johansen,2,-0.005086127211376218,0.1934158727886238,0.198502
365,18,Aalen-Johansen,3,9.705161792588068e-4,0.2783995161792588,0.277429
730,18,Aalen-Johansen,1,-0.005155598950970647,0.21925740104902935,0.224413
730,18,Aalen-Johansen,2,-0.008445241610371135,0.17933275838962887,0.187778
730,18,Aalen-Johansen,3,0.013600840561341254,0.6014098405613413,0.587809
1095,18,Aalen-Johansen,1,0.0029805696222083844,0.10150556962220839,0.098525
1095,18,Aalen-Johansen,2,-0.035597221728186884,0.09601877827181313,0.131616
1095,18,Aalen-Johansen,3,0.03261665210597853,0.8024756521059785,0.769859
1460,18,Aalen-Johansen,1,0.0011727643554916775,0.04484976435549168,0.043677
1460,18,Aalen-Johansen,2,-0.02151627018585156,0.060557729814148434,0.082074
1460,18,Aalen-Johansen,3,0.02034350583035971,0.8945925058303598,0.874249
1825,18,Aalen-Johansen,1,0.006436658968590813,0.025722658968590814,0.019286
1825,18,Aalen-Johansen,2,-0.0018454666556677254,0.04617153334433227,0.048017
1825,18,Aalen-Johansen,3,-0.0045911923129231536,0.9281058076870767,0.9326969999999999
365,19,Aalen-Johansen,1,0.012585559730122764,0.5366545597301228,0.524069
365,19,Aalen-Johansen,2,0.026983505691768217,0.22548550569176823,0.198502
365,19,Aalen-Johansen,3,-0.039569065421891425,0.23785993457810856,0.277429
730,19,Aalen-Johansen,1,0.03607632759499832,0.2604893275949983,0.224413
730,19,Aalen-Johansen,2,0.012807448054205417,0.20058544805420542,0.187778
730,19,Aalen-Johansen,3,-0.04888377564920443,0.5389252243507956,0.587809
1095,19,Aalen-Johansen,1,0.0022502951190937065,0.10077529511909371,0.098525
1095,19,Aalen-Johansen,2,0.022416352097905295,0.1540323520979053,0.131616
1095,19,Aalen-Johansen,3,-0.024666647216999182,0.7451923527830008,0.769859
1460,19,Aalen-Johansen,1,0.01500978951053103,0.05868678951053103,0.043677
1460,19,Aalen-Johansen,2,-0.004283407508641285,0.07779059249135871,0.082074
1460,19,Aalen-Johansen,3,-0.010726382001889911,0.8635226179981101,0.874249
1825,19,Aalen-Johansen,1,0.010057394755265514,0.029343394755265515,0.019286
1825,19,Aalen-Johansen,2,0.002263665633453718,0.050280665633453715,0.048017
1825,19,Aalen-Johansen,3,-0.012321060388719163,0.9203759396112807,0.9326969999999999
365,20,Aalen-Johansen,1,-0.030952192445486748,0.49311680755451326,0.524069
365,20,Aalen-Johansen,2,0.006398561694817895,0.2049005616948179,0.198502
365,20,Aalen-Johansen,3,0.024553630750668798,0.3019826307506688,0.277429
